word,count
pontificate,3
powerless,1
sixtus,1
wisdom,10
rid,2
invaded,2
showed,6
entry,1
contributed,3
possessing,2
improved,1
prospered,2
foster,2
prelates,1
venerated,1
goodness,2
virtues,5
discoursed,1
particularly,4
characteristics,3
proposed,1
defends,1
cowardly,3
attraction,1
stipend,1
foe,1
prove,3
display,2
sins,4
related,3
penalty,1
gesso,1
refers,1
implying,1
quartermasters,1
conquer,8
cf,4
realm,2
felicity,1
dream,1
lodgings,1
swords,1
demonstrate,1
captains,15
intentions,3
skilful,1
resorted,1
duty,2
satisfactorily,1
sway,1
macedon,3
milanese,2
caravaggio,2
engaged,4
queen,1
unprotected,1
extended,1
opposed,2
elsewhere,3
discretion,5
ago,1
renown,7
resisting,1
achievements,3
acted,2
safely,1
gloriously,1
plebians,1
land,5
expanded,1
carmignuola,2
murder,2
bartolomeo,2
bergamo,2
roberto,2
delayed,2
losses,1
sudden,1
portentous,1
knight,1
sir,2
knighted,1
troops,5
white,1
hedingham,1
bussone,1
colleoni,1
austria,1
italia,1
seriously,1
repudiated,1
favouring,3
fell,6
priests,1
alberigo,2
romagnian,2
school,1
arbiters,1
ravaged,1
insulted,1
guided,1
twenty,6
foot,6
killing,3
fray,1
garrisons,1
camp,3
stockade,1
ditch,1
campaign,2
alberico,1
xiii,1
arm,3
proof,3
stipulated,1
undone,1
captive,2
histories,3
fruit,1
ravenna,2
conquerors,2
constantinople,1
servitude,1
assume,2
dastardy,1
deeming,3
reliable,3
discerning,1
highly,4
unwilling,1
condottieri,1
cut,4
pieces,1
aliens,1
offered,3
saul,2
champion,1
rejected,2
sling,1
fast,2
seventh,1
eleventh,1
liberated,1
men-at-arms,6
diminished,2
unconquerable,1
ordinance,1
enlarged,1
scanty,1
hidden,1
disaster,1
examined,2
goths,1
vigour,2
speakers,1
debate,1
lamentable,1
existence,1
allegations,1
weight,2
mall,1
gazette,1
select,2
sole,1
upholds,1
enables,2
martial,1
avoiding,3
dukes,1
persons,2
despised,10
ignominies,1
proportionate,1
disdain,2
addict,1
learns,2
something,4
valleys,2
understands,2
hills,1
lacks,2
essential,2
possess,4
array,2
philopoemen,2
writers,3
commended,1
retreat,3
forth,11
chances,3
befall,1
listen,4
confirming,1
greeks,1
victories,2
defeat,7
achilles,2
caesar,6
scipio,7
chastity,1
affability,1
liberality,16
observe,6
available,3
blows,3
xv,1
mentioning,1
depart,2
appropriate,2
effects,1
preservation,1
professions,1
destroys,1
wrong,2
putting,3
imaginary,1
reputed,4
miserly,3
tuscan,2
term,1
avaricious,2
generous,2
affable,1
haughty,1
frivolous,2
confess,1
praiseworthy,2
reproach,11
hesitation,2
abandon,2
uneasy,1
incurring,1
saved,3
vice,2
meanness,4
above-named,4
exercised,2
attribute,1
tax,8
offended,2
imperilled,1
runs,2
mean,4
burdening,1
numberless,1
reaching,3
imposing,1
supplied,2
thriftiness,1
positions,2
pre-eminent,1
survived,2
moderated,1
subjects',2
sparing,2
pillage,1
giver,1
wiser,1
seeking,4
incur,1
rapacity,2
begets,1
xvii,1
robberies,1
originate,1
rioting,1
cancellieri,1
panciatichi,1
virgil,1
mouth,2
dido,1
reign,2
res,1
et,2
regni,1
fines,1
incautious,1
unsettled,3
infant,2
bid,1
pow'rs,1
safer,3
dispensed,1
asserted,1
covetous,1
children,5
relying,1
neglected,3
scruple,1
offending,2
baseness,2
inspire,1
abstains,1
justification,1
wanting,4
control,4
disregard,1
duties,1
wonderful,3
races,3
inhuman,1
terrible,3
sight,4
produce,2
short-sighted,1
admire,1
view,2
condemn,1
forbearance,1
upbraided,1
maximus,1
locrians,1
waste,1
legate,4
concealed,2
portion,3
p,4
admits,1
contesting,2
law,3
beasts,2
figuratively,1
taught,2
centaur,1
teacher,1
lion,6
snares,2
discover,4
precept,2
treaties,1
striving,1
points,2
officiis,1
cum,1
duo,1
genera,1
decertandi,1
per,2
alterum,1
illud,1
beluarum,1
confugiendum,1
est,1
posterius,1
non,3
superiore,1
pretender,1
dissembler,2
affirm,1
deceits,1
sempre,1
gli,2
humane,3
upright,2
require,2
diverge,1
fede,5
tutto,2
noteworthy,2
edition,2
sanction,1
signify,1
indifferently,1
designate,1
heresy,1
south,1
sermon,1
comments,1
helpful,1
pernicious,1
lets,1
slip,1
lips,1
hears,1
quality,1
judges,1
conquering,2
seems,3
preaches,1
mention,2
ferdinand's,1
xix,1
briefly,2
generality,1
contemptible,3
violator,1
touched,2
contend,1
irrevocable,1
round,4
fears,2
disturbed,5
carried,5
despair,1
spartan,1
conspire,2
efficacious,1
confront,1
denouncing,1
obstinate,2
jealousy,2
plot,1
fathers,2
annibale,3
murdered,5
canneschi,2
childhood,1
assassination,1
bolognese,1
information,9
blacksmith,1
reckon,1
objects,1
parliament,1
bit,2
management,1
cherish,1
perhaps,4
soul,5
marcus,8
philosopher,2
maximinus,6
commodus,5
pertinax,6
julian,4
severus,9
caracalla,3
contended,1
avarice,1
beset,1
unaspiring,1
humours,2
caring,1
injuring,1
inexperience,1
modest,2
lovers,1
benignant,1
sad,1
nobles--you,1
harm,1
accorded,1
reigned,1
successfully,1
respectful,1
persuaded,4
sclavonia,1
asiatic,1
west,2
aspired,1
declare,4
colleague,1
oriental,1
ingratitude,2
conceived,2
despiser,1
delicate,1
luxuries,1
ferocity,2
alexandria,1
extent,2
such-like,1
desperate,1
careful,2
employs,1
contumeliously,1
bodyguard,1
brutal,1
corrupting,1
compete,1
gladiators,1
imperial,4
disgusted,3
effeminacy,1
thrace,1
accession,1
going,4
seat,4
anger,2
aquileia,1
inordinate,1
indulgence,2
veterans,1
soldan,3
aside,1
heirs,1
acting,3
likewise,1
utterly,3
destructive,1
disarmed,4
distracted,2
fostered,3
enmities,1
built,2
admit,1
arming,2
benefited,1
handled,1
reward,1
opinions,4
distributed,5
reckoned,1
fallacious,1
obstacles,1
mount,2
ladder,1
trusted,5
petrucci,3
cancel,1
profit,3
discontent,1
favourable,1
encouraged,4
bridle,1
demolish,1
castello,1
castle,12
hate,1
consort,1
recover,3
posture,1
cares,3
catherine,2
galeazzo,1
fortunati,2
announces,1
sylvester,1
xxi,1
foremost,1
christendom,1
castile,1
thinking,5
anticipating,1
innovations,1
sustain,2
distinguished,3
plea,2
pious,1
moors,1
suspense,1
admiration,1
steadily,1
assists,1
unusual,1
internal,2
milano,1
punishing,1
declares,2
neutral,4
invariably,1
loses,2
harbour,1
interfere,1
guerdon,1
entreat,1
path,2
victor,2
indebted,2
bond,1
amity,1
shameless,1
monument,1
companions,3
running,2
callings,1
peaceably,1
agriculture,1
lest,6
spectacles,1
convenient,1
guilds,4
courtesy,1
arti,2
o,1
tribu,2
edgcumbe,1
staley,1
methuen,1
mackenzie,1
wallace's,1
working,3
season,1
larger,2
artels,1
kind--,1
permanent,2
associations,1
pecuniarily,1
responsible,1
aylmer,1
maude,1
ars,1
admitted,3
rota,1
underlying,1
possibly,2
gentile,1
groups,1
descent,1
sects,1
antonio,14
classes,1
comprehended,1
initiative,1
inwardly,1
xxiii,1
branch,1
pest,1
falling,1
letting,2
conclusions,1
separately,1
luca,2
practice,1
communicate,1
obstructed,1
pliant,1
diverted,1
mary,1
offering,2
asks,1
constant,2
advisers,1
axiom,1
inexperienced,1
counsels,3
inferred,1
previous,2
seigniors,1
absence,3
defects,3
years',1
defending,1
restore,3
xxv,1
labour,1
conjecture,1
extinguish,1
older,1
convinced,1
three-quarters,1
sorel's,1
compare,1
overflows,1
sweeping,1
buildings,1
flies,1
weather,1
waters,3
canal,1
unrestrained,1
